,time,target,response,frequency
44,1847.38330078125,2,2,1000
45,1849.04296875,1,1,1000
46,1851.04296875,1,1,1000
47,1853.5927734375,2,1,1200
48,1860.8125,1,1,1000
0,1866.427734375,1,1,1200
1,1870.857421875,1,1,1000
2,1873.50732421875,2,2,1000
3,1875.13720703125,1,2,1200
4,1878.42724609375,2,2,1000
5,1883.10693359375,1,1,1000
6,1885.53662109375,2,2,1000
7,1886.9765625,1,1,1000
8,1889.03662109375,1,1,1000
9,1891.70654296875,2,2,1000
10,1893.30615234375,1,1,1200
11,1896.5361328125,1,1,1200
12,1898.736328125,1,1,1000
13,1901.42626953125,2,2,1000
14,1903.05615234375,1,1,1000
15,1905.22607421875,1,1,1000
16,1908.78564453125,2,2,1000
17,1911.05517578125,2,2,1200
18,1912.9853515625,1,1,1000
19,1914.95556640625,1,1,1000
20,1917.5751953125,2,1,1200
21,1923.8349609375,2,2,1000
22,1925.384765625,1,1,1000
23,1928.0048828125,2,2,1000
24,1929.33447265625,1,1,1000
25,1931.40478515625,1,1,1000
26,1933.7744140625,1,1,1000
27,1936.3544921875,2,2,1000
28,1938.00439453125,1,1,1000
29,1940.57421875,2,2,1000
30,1942.40380859375,1,1,1000
31,1945.18408203125,2,2,1000
32,1949.0234375,2,1,1200
33,1950.95361328125,1,1,1200
34,1953.6533203125,1,1,1000
35,1956.283203125,2,2,1000
36,1959.43310546875,2,2,1000
37,1964.6728515625,1,1,1000
38,1966.78271484375,1,1,1000
39,1969.33251953125,2,2,1000
40,1971.53271484375,2,1,1000
41,1973.33251953125,1,1,1200
42,1976.1025390625,1,1,1200
43,1978.30224609375,1,1,1200
44,1981.0322265625,2,2,1000
45,1982.47216796875,1,1,1000
46,1984.4716796875,1,1,1000
47,1986.431640625,1,1,1000
48,1989.0517578125,2,2,1000
0,1999.82666015625,2,2,1000
1,2001.826171875,2,2,1000
2,2003.81640625,2,2,1000
3,2006.17578125,1,2,1200
4,2008.74609375,1,1,1000
5,2011.2958984375,2,2,1200
6,2013.32568359375,2,2,1000
7,2018.16552734375,2,2,1000
8,2020.04541015625,2,2,1000
9,2021.97509765625,2,2,1200
10,2024.12548828125,1,1,1000
11,2027.09521484375,2,1,1000
12,2030.26513671875,2,2,1000
13,2032.224609375,2,2,1200
14,2035.49462890625,2,2,1000
15,2037.814453125,2,2,1000
16,2040.0146484375,2,2,1000
17,2042.09423828125,2,2,1000
18,2044.4140625,2,2,1200
19,2048.7939453125,1,1,1000
20,2050.673828125,1,1,1000
21,2054.57373046875,2,2,1000
22,2056.4736328125,1,1,1000
23,2058.9736328125,2,2,1000
24,2060.5234375,1,2,1200
25,2063.5732421875,2,2,1000
26,2065.8232421875,2,2,1000
27,2068.6630859375,2,2,1200
28,2075.86279296875,2,2,1000
29,2077.41259765625,1,1,1000
30,2079.6923828125,1,1,1000
31,2081.9921875,1,1,1000
32,2084.1123046875,1,1,1200
33,2087.0419921875,2,2,1000
34,2088.97216796875,2,2,1000
35,2090.56201171875,1,1,1000
36,2092.61181640625,1,1,1000
37,2094.71142578125,1,1,1200
38,2097.021484375,1,1,1000
39,2099.12158203125,1,1,1200
40,2101.92138671875,2,2,1000
41,2103.7412109375,1,1,1000
42,2108.2412109375,1,1,1000
43,2110.3212890625,1,1,1000
44,2112.81103515625,2,2,1000
45,2114.37109375,1,1,1000
46,2118.46044921875,2,2,1200
47,2120.5703125,1,1,1000
48,2123.09033203125,2,1,1200
0,2136.99462890625,1,1,1000
1,2140.984375,1,1,1200
2,2143.63427734375,1,1,1000
3,2145.744140625,1,1,1200
4,2148.60400390625,2,2,1000
5,2149.9638671875,1,2,1200
6,2152.48388671875,2,2,1000
7,2158.34375,1,1,1000
8,2160.93359375,2,2,1000
9,2162.943359375,2,2,1000
10,2164.3037109375,1,1,1000
11,2166.9833984375,2,2,1000
12,2169.30322265625,2,2,1000
13,2171.64306640625,2,2,1200
14,2174.552734375,1,1,1000
15,2177.0927734375,2,2,1000
16,2182.16259765625,1,1,1000
17,2184.71240234375,2,2,1000
18,2186.84228515625,2,2,1000
19,2188.46240234375,1,1,1000
20,2191.1123046875,2,1,1000
21,2193.08203125,2,2,1000
22,2195.36181640625,2,2,1000
23,2196.79150390625,1,2,1200
24,2200.26171875,2,2,1000
25,2201.9814453125,1,2,1200
26,2208.51123046875,1,1,1200
27,2212.10107421875,2,2,1000
28,2213.541015625,1,1,1000
29,2216.05078125,2,2,1000
30,2217.48095703125,1,1,1000
31,2219.55078125,1,1,1000
32,2221.54052734375,1,1,1000
33,2224.1103515625,2,1,1200
34,2226.29052734375,2,2,1000
35,2228.3603515625,2,2,1000
36,2229.89013671875,1,1,1000
37,2232.30029296875,2,2,1000
38,2234.330078125,2,2,1000
39,2240.73974609375,2,1,1200
40,2243.259765625,1,1,1000
41,2245.80908203125,2,1,1200
42,2247.609375,1,2,1000
43,2249.7294921875,1,1,1000
44,2252.58935546875,1,1,1000
45,2255.10888671875,2,2,1000
46,2256.73876953125,1,1,1200
47,2267.87841796875,2,2,1000
48,2269.9580078125,2,1,1200
0,2276.6826171875,1,1,1000
1,2280.05224609375,1,1,1000
2,2282.72216796875,2,1,1200
3,2284.9921875,2,2,1000
4,2286.90185546875,2,2,1000
5,2289.08203125,2,2,1000
6,2290.47216796875,1,1,1000
7,2292.421875,1,1,1000
8,2294.32177734375,1,1,1000
9,2296.2314453125,1,1,1200
10,2298.50146484375,1,1,1000
11,2300.681640625,1,1,1000
12,2302.80126953125,1,1,1200
13,2305.291015625,2,1,1200
14,2307.45068359375,1,1,1200
15,2310.12109375,2,2,1000
16,2312.07080078125,2,2,1000
17,2313.53076171875,1,1,1000
